title,created,plays
Kyle Bickoff Digital Dialogue: Digital Containerization A History of Information Storage Containers for Programmable Media,2019-04-19T18:56:54+00:00,12,https://vimeo.com/videos/331467926
Christina Boyles Digital Dialogue: Decolonizing Disaster (Capitalism) in Post-hurricane Puerto Rico,2019-04-19T17:44:47+00:00,10,https://vimeo.com/videos/331456317
Daniel Stokl Ben Ezra Digital Dialogue: Computational Transcription of Medieval Hebrew Manuscripts,2019-04-10T16:58:41+00:00,1,https://vimeo.com/videos/329628299
"Andrew Ferguson Digital Dialogue - Videogames, Glitches, and the Narrative of Malfunction",2019-03-26T21:03:57+00:00,8,https://vimeo.com/videos/326671688
Howard Rambsy II Digital Dialogue - In a Dataset of Their Own: Comparisons of black artists and black artists,2019-03-26T19:30:34+00:00,5,https://vimeo.com/videos/326652307
"Marya McQuirter Digital Dialogue - 1968 Archives are Loud AF: Using DH to Transform Narratives About 1968 & ""The Archive""",2019-03-26T15:33:39+00:00,9,https://vimeo.com/videos/326597901
Hugh Cayless Digital Dialogue: The Devil in the Details DH for Small Data and Close Reading,2019-03-25T21:57:13+00:00,6,https://vimeo.com/videos/326443223
Alex Gil Digital Dialogue,2018-11-06T22:15:53+00:00,23,https://vimeo.com/videos/299323708
Christy Hyman Digital Dialogue,2018-10-30T22:43:11+00:00,36,https://vimeo.com/videos/298057182
Sarah Bowen Savant Digital Dialogue,2018-10-30T15:52:04+00:00,18,https://vimeo.com/videos/297970789
Aleia Brown Digital Dialogue: Ctrl Alt Delete Rebooting Narratives through Digital Humanities,2018-10-09T19:57:42+00:00,43,https://vimeo.com/videos/294225633
James J. Brown Jr. Digital Dialogue: Histories of Hateware,2018-10-02T20:28:52+00:00,31,https://vimeo.com/videos/293017555
Lorena Gauthereau Digital Dialogue: Elaborating a (Digital) Methodology of the Oppressed in US Latina/o Digital Humanities,2018-09-26T19:19:32+00:00,49,https://vimeo.com/videos/291987218
EcoDH Digital Dialogue: Intersections of Environmental and Digital Humanities,2018-09-19T20:08:29+00:00,52,https://vimeo.com/videos/290768193
"AADHum Incubator January 2018 (Movement + the Body): Audiovisual Storytelling 101, Adobe Premiere Tutorial",2018-05-10T19:48:10+00:00,9,https://vimeo.com/videos/269058163
"Chris Mustazza Digital Dialogue : Dialectical Materialities: PennSound, Early Poetry Recordings, and Disc-to-Disk Translations",2018-04-03T19:36:04+00:00,20,https://vimeo.com/videos/263041805
"Kaiama Glover | If We Build It, They Will Come: Mapping an Intellectual History of the 20th Century Afro-Atlantic",2018-03-28T19:21:23+00:00,69,https://vimeo.com/videos/262268334
Laurie Allen Digital Dialogue : Monument Lab - Cultural Memory and Artistic Imagination as Open Civic Data,2018-03-13T19:30:18+00:00,26,https://vimeo.com/videos/259930629
"Alison Langmead Digital Dialogue : Art and Architectural History and the Performative, Mindful Practice of the Digital Humanitie",2018-03-08T21:27:40+00:00,32,https://vimeo.com/videos/259237410
Emad Khazraee Digital Dialogue : Persian Twitter: A Transforming Social Media Landscape,2018-03-06T21:47:55+00:00,30,https://vimeo.com/videos/258877390
Jarrett Drake Digital Dialogue: Repositories of Failure: Creating Abolitionist Archives to Project Past the Punishment Paradigm,2018-02-15T21:30:17+00:00,54,https://vimeo.com/videos/255978255
AADHum Incubator January 2018 (Movement + the Body): Audiovisual Storytelling 101,2018-02-05T20:29:07+00:00,34,https://vimeo.com/videos/254377275
Pamela Boardley Oral History 20070620,2018-01-11T03:38:49+00:00,6,https://vimeo.com/videos/250557034
Violetta Jones Pamela Sharps Oral History,2018-01-10T03:11:14+00:00,9,https://vimeo.com/videos/250384858
Jeanette Brooks Oral History,2018-01-10T03:10:30+00:00,73,https://vimeo.com/videos/250384773
Julia Pitts Oral History,2018-01-10T03:09:59+00:00,15,https://vimeo.com/videos/250384715
Using the Digital to Engage Archival Radio Collections: Part I (Panel Discussion),2017-11-14T19:08:01+00:00,37,https://vimeo.com/videos/242802386
Using the Digital to Engage Archival Radio Collections: Part II (Wikidata Workshop),2017-11-14T15:43:42+00:00,42,https://vimeo.com/videos/242765979
"Walter Forsberg Digital Dialogue: 'Yes, We Scan: Building Media Conservation and Digitization at NMAAHC'",2017-11-08T23:51:53+00:00,57,https://vimeo.com/videos/241974165
Alexandrina Agloro Digital Dialogue: 'Liberation by Design: Interactive Media & Community-Engaged Making',2017-10-31T22:39:13+00:00,27,https://vimeo.com/videos/240751941
Elisa Beshero-Bondar Digital Dialogue: The Bicentennial Frankenstein Project: Stitching the Seams of Textual Bodies,2017-10-24T21:47:46+00:00,26,https://vimeo.com/videos/239723602
Sarah Florini Digital Dialogue: 'Oscillating Networked Publics: Contingent Uses of Black Digital Networks',2017-10-10T19:37:43+00:00,19,https://vimeo.com/videos/237632419
Nicole Cooke Digital Dialogue: 'Unearthing the Segregated History of Library and Information Science',2017-10-03T19:21:54+00:00,159,https://vimeo.com/videos/236638031
Kevin Hamilton Digital Dialogue: 'Unfixed Research: On Letting Others Lead in Arts-Integrative Work',2017-09-26T22:26:12+00:00,49,https://vimeo.com/videos/235647565
"Josh Shepperd Digital Dialogue: 'Public Media's Origin as a Strategically Networked Archive, 1949-1953'",2017-04-13T20:46:43+00:00,53,https://vimeo.com/videos/213144856
"Ryan Long Vambery Lecture: 'Hannes Meyer in Europe and Mexico: Building, a Poetics of Displacement’",2017-04-05T18:46:15+00:00,61,https://vimeo.com/videos/211724175
Joanna Swafford Digital Dialogue: 'Sounding Poetry with Digital Tools',2017-04-05T17:10:44+00:00,31,https://vimeo.com/videos/211709866
"Avery Dame Digital Dialogue: 'Spotlighting Hidden Histories: Archiving Transgender Usenet, 1994-2013'",2017-04-05T15:34:15+00:00,28,https://vimeo.com/videos/211693455
This is ACORN,2017-03-13T20:32:27+00:00,7,https://vimeo.com/videos/208204551
"André Brock Digital Dialogue: 'The Price of the Ticket: Racism, Black Digital Practice, and Racism Battle Fatigue'",2017-02-28T21:44:19+00:00,107,https://vimeo.com/videos/206140581
Columba Stewart Digital Dialogue: 'Giving Voice to Ancient Texts: Digital Preservation and Access for Endangered Manuscripts',2017-02-22T18:31:59+00:00,79,https://vimeo.com/videos/205259622
"Kishonna Gray Digital Dialogue: 'Buffoons, Goons, and Pixelated Minstrels: The Digital Story That Games Tell'",2017-02-16T17:47:01+00:00,35,https://vimeo.com/videos/204398478
"Paul Jaskot: 'Digital Art History: Old Problems, New Debates, and Critical Potentials'",2017-02-01T17:09:28+00:00,34,https://vimeo.com/videos/202064194
"Dana Williams & Kenton Rambsy Digital Dialogue: ""Looking for the Perfect Beat:"" African American Literary History--Technology an",2016-11-15T20:50:55+00:00,45,https://vimeo.com/videos/191700911
"Sarah Patterson & Jim Casey Digital Dialogue: ' To Organize, Organize, ORGANIZE: the Colored Conventions, Then and Now'",2016-11-08T21:07:54+00:00,39,https://vimeo.com/videos/190779624
Alberto Campagnolo Digital Dialogue: 'Conservation and Digitization: A Technologizing of the Book as an Object',2016-11-02T19:13:34+00:00,77,https://vimeo.com/videos/189986974
Ravon Ruffin Digital Dialogue: 'Digital Archives: Radical Acts of Self-Preservation',2016-10-25T20:18:01+00:00,131,https://vimeo.com/videos/188888033
SPLC Blocklist,2016-10-19T17:21:46+00:00,38,https://vimeo.com/videos/188019188
Gregory Zinman Digital Dialogue: 'Nam June Paik’s Etude and the Indeterminate Origins of Digital Media Art',2016-10-18T20:27:29+00:00,50,https://vimeo.com/videos/187886680
